City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bambous Virieux,MU,80.6,scattered clouds,-20.3428,57.7575,Casa Tia Villa
8,Kavieng,PG,82.4,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
9,Faanui,PF,81.01,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Rikitea,PF,77.52,light rain,-23.1203,-134.9692,Pension Maro'i
14,Puerto Ayora,EC,82.4,light rain,-0.7393,-90.3518,Castillo Galapagos
15,Lorengau,PG,82.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
16,Maceio,BR,80.6,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
19,Sapa,PH,79.86,broken clouds,5.1544,120.3241,
21,Comodoro Rivadavia,AR,77.0,clear sky,-45.8667,-67.5,Austral Hotel
31,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
32,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
37,Pacocha,PE,75.2,clear sky,-17.5833,-71.3333,terrenos en venta
38,Pochutla,MX,90.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
44,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
45,Yendi,GH,86.47,clear sky,9.4427,-0.0099,Eyarro Lodge
47,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
50,Kieta,PG,80.22,broken clouds,-6.2167,155.6333,
53,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
55,Ancud,CL,80.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
56,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
62,Balsas,BR,83.08,heavy intensity rain,-7.5325,-46.0356,Novo Hotel
71,Port Hedland,AU,75.2,clear sky,-20.3167,118.5667,The Esplanade Hotel
73,Piacabucu,BR,81.16,broken clouds,-10.4056,-36.4344,Piaçabuçu News
74,Labuhan,ID,78.4,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
76,Nueva Germania,PY,89.13,overcast clouds,-23.9,-56.5667,Estancia Ña Luisa
77,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
79,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Hilo,US,75.99,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
90,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
104,Vila Velha,BR,79.0,mist,-20.3297,-40.2925,Hotel Vitória Palace
106,Santa Rosa,PH,78.8,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
110,Cabo San Lucas,MX,75.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
113,Nacala,MZ,79.5,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
115,Diego De Almagro,CL,83.5,clear sky,-26.3667,-70.05,hotel luna del desierto
117,Rio Gallegos,AR,82.4,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
122,Santa Helena,BR,84.47,broken clouds,-2.2311,-45.3,Turi Plaza Hotel
123,Bengkulu,ID,75.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
126,Ode,NG,78.03,broken clouds,7.7899,5.7117,MORALAB HOTEL
128,Tutoia,BR,86.0,scattered clouds,-2.7619,-42.2744,Pousada Guará's
130,Farafangana,MG,79.75,light rain,-22.8167,47.8333,Miarina
131,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
133,Howard Springs,AU,75.2,broken clouds,-12.497,131.047,buffalo beach hostel
139,Ewa Beach,US,75.2,few clouds,21.3156,-158.0072,Base Lodging
140,Atuona,PF,79.74,broken clouds,-9.8,-139.0333,Villa Enata
143,Touros,BR,86.0,clear sky,-5.1989,-35.4608,INN NEW HORIZON
145,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
149,Pemba,MZ,81.36,overcast clouds,-12.974,40.5178,Guesthouse Samotina
151,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
155,Cidreira,BR,75.38,clear sky,-30.1811,-50.2056,Hotel Castelo
158,Moron,AR,77.0,broken clouds,-34.6534,-58.6198,Hotel Morón
161,Grand Gaube,MU,78.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
163,Martapura,ID,77.0,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
165,Mitsamiouli,KM,83.1,overcast clouds,-11.3847,43.2844,Foyer ADM
166,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
167,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
169,Sao Joao Da Barra,BR,78.8,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
172,Luganville,VU,77.76,clear sky,-15.5333,167.1667,The Espiritu Hotel
176,Lodwar,KE,83.86,scattered clouds,3.1191,35.5973,Turkwel Lodge
178,Meulaboh,ID,76.69,few clouds,4.1363,96.1285,Kost Pria
186,Miramar,US,84.0,broken clouds,25.9873,-80.2323,Stadium Hotel
193,Isangel,VU,79.09,clear sky,-19.55,169.2667,Volcano Sea View Tree House
196,Conceicao Do Almeida,BR,81.77,light rain,-12.7794,-39.17,Pousada Caldas e Andrada
197,Lima,PE,78.01,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
200,Fomboni,KM,83.75,overcast clouds,-12.28,43.7425,Auberge les abou
203,Acarau,BR,83.16,light rain,-2.8856,-40.12,castelo pizzaria
204,Mongoumba,CF,75.83,broken clouds,3.6415,18.5936,
207,Marawi,PH,75.0,light rain,7.9986,124.2928,Derogongan Residence
223,Rosario,AR,84.99,broken clouds,-32.9468,-60.6393,Holiday Inn Rosario
224,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
226,Anastacio,BR,87.8,clear sky,-20.4836,-55.8069,HOTEL ARARAS
227,Saint-Louis,SN,82.4,clear sky,16.3333,-15.0,
233,Kloulklubed,PW,78.8,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
236,Coihaique,CL,86.0,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
