City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,62.6,55,0,16.11,clear sky
1,Bambous Virieux,MU,-20.3428,57.7575,80.6,74,40,8.05,scattered clouds
2,Fortuna,US,40.5982,-124.1573,52.0,81,20,3.78,few clouds
3,Yabrud,SY,33.9674,36.6574,51.8,76,0,3.44,clear sky
4,Bethel,US,41.3712,-73.414,28.0,36,1,3.44,clear sky
5,Airai,TL,-8.9266,125.4092,60.39,100,100,3.02,light rain
6,Kapaa,US,22.0752,-159.319,73.4,64,1,11.5,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,69.8,40,0,19.57,clear sky
8,Kavieng,PG,-2.5744,150.7967,82.4,79,95,10.96,overcast clouds
9,Faanui,PF,-16.4833,-151.75,81.01,77,0,13.94,clear sky
10,Balaipungut,ID,1.05,101.2833,74.1,95,97,2.75,moderate rain
11,Norman Wells,CA,65.282,-126.8329,-31.0,75,1,5.75,clear sky
12,Rikitea,PF,-23.1203,-134.9692,77.52,70,39,7.65,light rain
13,Dromolaxia,CY,34.8761,33.586,60.01,82,40,2.3,scattered clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,82.4,78,75,12.66,light rain
15,Lorengau,PG,-2.0226,147.2712,82.42,77,88,7.58,overcast clouds
16,Maceio,BR,-9.6658,-35.7353,80.6,74,40,8.05,scattered clouds
17,New Norfolk,AU,-42.7826,147.0587,53.6,71,75,10.36,broken clouds
18,Necochea,AR,-38.5473,-58.7368,68.0,61,21,5.99,few clouds
19,Sapa,PH,5.1544,120.3241,79.86,86,71,9.04,broken clouds
20,Albany,US,42.6001,-73.9662,26.01,40,93,1.01,overcast clouds
21,Comodoro Rivadavia,AR,-45.8667,-67.5,77.0,38,0,17.27,clear sky
22,Lompoc,US,34.6391,-120.4579,55.0,82,90,3.44,overcast clouds
23,Tasiilaq,GL,65.6145,-37.6368,23.0,63,75,16.11,broken clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,-41.8,66,1,4.76,clear sky
25,Port Alfred,ZA,-33.5906,26.891,66.99,87,41,7.2,scattered clouds
26,Dikson,RU,73.5069,80.5464,-31.52,84,78,13.65,broken clouds
27,Yeniseysk,RU,58.4497,92.1703,30.92,98,100,14.07,snow
28,Tukrah,LY,32.5341,20.5791,59.9,79,2,7.61,clear sky
29,Kelowna,CA,49.8831,-119.4857,23.0,38,90,12.66,overcast clouds
30,Felanitx,ES,39.4696,3.1483,59.0,58,20,20.71,few clouds
31,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,5.75,clear sky
32,Cockburn Town,TC,21.4612,-71.1419,82.4,65,40,11.5,scattered clouds
33,Nome,US,64.5011,-165.4064,6.8,51,1,9.22,clear sky
34,Saskylakh,RU,71.9167,114.0833,-31.09,83,25,3.58,scattered clouds
35,Aklavik,CA,68.2191,-135.0107,-36.4,67,100,4.61,overcast clouds
36,Nanortalik,GL,60.1432,-45.2371,30.34,90,89,12.39,overcast clouds
37,Pacocha,PE,-17.5833,-71.3333,75.2,78,0,18.41,clear sky
38,Pochutla,MX,15.7432,-96.4661,90.0,43,1,11.5,clear sky
39,Ulladulla,AU,-35.35,150.4667,62.01,100,75,6.91,light intensity drizzle
40,East London,ZA,-33.0153,27.9116,70.36,74,36,4.45,scattered clouds
41,Lagoa,PT,39.05,-27.9833,59.41,74,100,24.38,overcast clouds
42,Ribeira Grande,PT,38.5167,-28.7,60.8,82,75,17.27,broken clouds
43,Narsaq,GL,60.9167,-46.05,39.2,28,75,41.43,broken clouds
44,Avarua,CK,-21.2078,-159.775,82.4,78,40,8.05,light rain
45,Yendi,GH,9.4427,-0.0099,86.47,14,9,0.56,clear sky
46,Jamestown,US,42.097,-79.2353,24.01,58,90,10.36,overcast clouds
47,Cayenne,GF,4.9333,-52.3333,82.4,74,75,14.97,broken clouds
48,Yellowknife,CA,62.456,-114.3525,-31.0,68,75,20.71,snow
49,Longyearbyen,SJ,78.2186,15.6401,15.8,48,0,17.27,clear sky
50,Kieta,PG,-6.2167,155.6333,80.22,83,76,10.2,broken clouds
51,Kaitangata,NZ,-46.2817,169.8464,63.0,89,100,1.99,light rain
52,Tuatapere,NZ,-46.1333,167.6833,55.13,93,100,8.97,light rain
53,Vaini,TO,-21.2,-175.2,77.0,94,90,10.36,light rain
54,Geraldton,AU,-28.7667,114.6,62.6,94,40,4.61,scattered clouds
55,Ancud,CL,-41.8697,-73.8203,80.6,39,0,8.05,clear sky
56,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,83,75,10.36,broken clouds
57,Bredasdorp,ZA,-34.5322,20.0403,71.01,83,4,2.64,clear sky
58,Te Anau,NZ,-45.4167,167.7167,57.83,93,100,1.48,light rain
59,Qaanaaq,GL,77.484,-69.3632,20.59,80,100,6.08,overcast clouds
60,Busselton,AU,-33.65,115.3333,55.99,98,79,8.52,broken clouds
61,Upernavik,GL,72.7868,-56.1549,15.98,77,0,2.62,clear sky
62,Balsas,BR,-7.5325,-46.0356,83.08,67,80,4.0,heavy intensity rain
63,Hobart,AU,-42.8794,147.3294,53.6,71,75,10.36,broken clouds
64,Chokurdakh,RU,70.6333,147.9167,-10.41,85,0,10.09,clear sky
65,Srednekolymsk,RU,67.45,153.6833,-0.6,89,99,1.54,overcast clouds
66,Cape Town,ZA,-33.9258,18.4232,71.01,78,20,19.57,few clouds
67,Bluff,NZ,-46.6,168.3333,57.38,96,100,10.71,overcast clouds
68,Hermanus,ZA,-34.4187,19.2345,71.01,83,10,5.14,clear sky
69,San Ramon,US,37.7799,-121.978,60.01,63,100,1.99,overcast clouds
70,Mataura,NZ,-46.1927,168.8643,57.42,95,100,2.48,light rain
71,Port Hedland,AU,-20.3167,118.5667,75.2,88,0,9.22,clear sky
72,Umea,SE,63.8284,20.2597,1.4,92,0,3.44,clear sky
73,Piacabucu,BR,-10.4056,-36.4344,81.16,72,59,13.31,broken clouds
74,Labuhan,ID,-6.8844,112.2051,78.4,86,100,7.9,overcast clouds
